id,Question,Answer,Rank
01,What console did Microsoft create?,Xbox ~Playstation ~Wii ~Wbox,1
02,What is the feature on xbox that allows people to play online multiplayer games?,Live Platinum ~Live Gold ~Live Diamond ~Live Stone,1
03,In what year did Microsoft announce Windows?,1883 ~1984 ~1985 ~1886,1
04,Where did Microsoft's xbox launch party take place?,Mojave Desert ~Sahara Desert ~Arizona ~Anarctica,1
05,What was Bill Gates and Paul Allen's original name for Microsoft?,MicroSoft ~Micro-Soft ~Microsoft ~MiCrOsOfT,1
06,Microsoft has subsidiary offices in how many countries?, 105 ~106 ~107 ~108,2
07,Does the rolling hills wallpaper of Windows XP actually exist?(Yes/No),Yes ~No,2
08,What is Microsoft's longest lived PC Game?,Halo ~Fortnite ~Flight Simulator ~Minecraft,2
09,Approximately how many emails are blocked by Microsoft email server per day?,6.5 million ~7.5 million ~8.5 million ~9.5 million,2
10,When was Microsofts first commerical aired?,1556 ~1992 ~1879 ~1963,2
11,Who made the original Hunt the Wumpus?,Gregory Yob ~Rob Lowe ~Bill Stone ~Kevin King,3
12,When was Hunt the Wumpus created?,1969 ~1973 ~1978 ~1983,3
13,What unique device was Hunt the Wumpus able to be played on(the general name)?,Camera ~Lightbulb ~Fridge ~Calculator,3
14,What genre is the Hunt the Wumpus game?,Horror ~Adventure ~Action ~RPG,3
15,How many more Wumpus games did the creator make after making Wumpus 1?,2 ~1 ~4 ~3,3
16,In what year was hunt the wumpus listed for the first time in Time's top 100 video games of all time?,2012 ~2013 ~2011 ~2010,4
17,What is the other animal besides the Wumpus that a user can find within the cave,Bear ~Coyote ~Snail ~Bat,4
18,What trading cards did hunt the wumpus feature on?,Pokemon ~Yu-Gi-Oh ~Magic the Gathering ~Power Rangers,4
19,What company did Microsoft help avoid bankruptcy,Apple ~Samsung ~LG ~Best Buy,4
20,What was Microsoft's first hardware product,Keyboard ~Mouse ~Monitor ~PC,4
21,Where was the creator of the game born?(State),Oregon ~California ~Washington ~Idaho,5
22,How many different series of games has the creator published?,3 ~1 ~2 ~4,5
23,What day did the creator of Hunt the Wumpus die?,October 10 ~October 11 ~October 12 ~October 13,5
24,Who was Microsoft's first major deal with?,AWS ~IBM ~Cloud ~Xbox,5
25,What age was Bill Gates when he became a billionaire?,30 ~29 ~31 ,5
